,class,label,gloss
58,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_horse_riding,horse riding,"A facility where people practise horse riding, usually in their spare time, e.g. a riding centre."
59,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_ice_rink,ice rink,A place where you can skate or play ice hockey.
60,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_marina,marina,For mooring leisure yachts and motor boats.
61,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_miniature_golf,miniature golf,A place or area that you can play miniature golf.
62,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_nature_reserve,nature reserve,"Protected area of importance for wildlife, flora, fauna or features of geological or other special interest."
63,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_outdoor_seating,outdoor seating,Areas for outdoor gastronomy.
64,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_park,park,"Open, green area for recreation, usually municipal."
65,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_picnic_table,picnic table,A picnic table
66,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_pitch,pitch,"A field for playing football, soccer, cricket, baseball, tennis, etc., a riding arena or a skate park. "
67,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_playground,playground,Playground for little children.
68,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_resort,resort,"A place used for relaxation or recreation, attracting visitors for vacations, tourism and/or going swimming in a pool and/or a nearby body of water."
69,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sauna,sauna,"A small room or house designed to experience dry or wet heat sessions, or an establishment with one or more of these and auxiliary facilities."
70,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_slipway,slipway,Boats can be launched here.
71,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sports_centre,sports centre,A distinct facility where a range of sports take place within an enclosed area. 
72,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sports_hall,sports hall,A building that is used as a sports hall.
73,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_stadium,stadium,A major sports arena with substantial tiered seating.
74,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_swimming_area,swimming area,"A swimming area - place over river, lake or other water reservoir where swimming is allowed."
75,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_swimming_pool,swimming pool,A swimming pool (water area only).
76,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_tanning_salon,tanning salon,Place where customers can use UV lamps to tan their skin.
77,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_track,track,"A track for running, cycling and other non-motorised racing such as horses, greyhounds."
78,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_water_park,water park,"An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers."
79,http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_wildlife_hide,wildlife hide,A place to observe wildlife.
80,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_quarter,quarter,"A quarter is a named, geographically localised place within a suburb of a larger city or within a town which is bigger than a neighbourhood"
81,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_neighbourhood,neighbourhood,"A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village"
82,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_city_block,city block,"A named city block, usually surrounded by streets."
83,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_plot,plot,A named plot is a tract or parcel of land owned or meant to be owned by some owner.
84,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_town,town,"An important urban centre, between a village and a city in size."
85,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_village,village,"A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these."
86,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_hamlet,hamlet,"A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure."
87,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_isolated_dwelling,isolated dwelling,The smallest kind of settlement (1-2 households).
88,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_farm,farm,An individually named farm.
89,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_allotments,allotments,"A separate settlement, which is located outside an officially inhabited locality and has its own addressing"
90,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_archipelago,archipelago,A named group or chain of closely related islands and islets.
91,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_island,island,Any piece of land that is completely surrounded by water and isolated from other significant landmasses.
92,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_islet,islet,A very small island.
93,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_square,square,"A town or village square: a paved open public space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village."
94,http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_locality,locality,A named place that has no population.
95,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_apartments,apartments,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
96,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bungalow,bungalow,"A single-storey detached small house, Dacha."
97,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cabin,cabin,"A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas."
98,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_detached,detached,"A detached house, a free-standing residential building usually housing a single family."
99,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_dormitory,dormitory,A shared building intended for college/university students (not a share room for multiple occupants as implied by the term in British English).
100,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_farm,farm,A residential building on a farm (farmhouse).
101,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_ger,ger,A permanent or seasonal round yurt or ger used as dwelling.
102,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hotel,hotel,A building designed with separate rooms available for overnight accommodation. 
103,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_house,house,"A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours, thereby defining the party wall between the properties."
104,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_houseboat,houseboat,A boat used primarily as a home
105,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_residential,residential,"A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house', 'detached' or 'semidetached house'."
106,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_semidetached_house,semidetached house,"A residential house that shares a common wall with another on one side. Typically called a ""duplex"" in American English."
107,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_static_caravan,static caravan,A mobile home (semi)permanently left on a single site
108,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_terrace,terrace,"A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English). Consider defining each dwelling separately using 'house'."
109,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_commercial,commercial,"A building for non-specific commercial activities, not necessarily an office building. "
110,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_industrial,industrial,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. 
111,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_kiosk,kiosk,A small one-room retail building.
112,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_office,office,An office building.
113,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_retail,retail,A building primarily used for selling goods that are sold to the public.
114,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_supermarket,supermarket,A building constructed to house a self-service large-area store.
115,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_warehouse,warehouse,A building primarily intended for the storage or goods or as part of a distribution system.
116,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cathedral,cathedral,A building that was built as a cathedral. 
117,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_chapel,chapel,A building that was built as a chapel. 
118,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_church,church,A building that was built as a church.
119,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_monastery,monastery,"A building constructed as monastery. Often, monasteries are consisting of several distinct buildings with specific functions."
120,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_mosque,mosque,A building errected as mosque.
121,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_presbytery,presbytery,A building where priests live and work.
122,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_religious,religious,Unspecific building related to religion. Prefer more specific values if possible.
123,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_shrine,shrine,A building that was built as a shrine.
124,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_synagogue,synagogue,A building that was built as a synagogue.
125,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_temple,temple,A building that was built as a temple.
126,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bakehouse,bakehouse,A building that was built as a bakehouse (i.e. for baking bread). 
127,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_civic,civic,A generic tag for a building created to house some civic amenity.
128,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_fire_station,fire station,"A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. "
129,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_government,government,"For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses."
130,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hospital,hospital,A building errected for a hospital. 
131,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_public,public,"A building constructed as accessible to the general public (a town hall, police station, court house, etc.)."
132,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_toilets,toilets,A toilet block.
133,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_train_station,train station,"A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose."
134,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_transportation,transportation,A building related to public transport.
135,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_kindergarten,kindergarten,For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose.
136,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_school,school,A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. 
137,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_university,university,A university building. 
137,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_university,university college,A university building. 
138,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_college,university college,A college building.
138,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_college,college,A college building.
139,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_barn,barn,An agricultural building used for storage and as a covered workplace.
140,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_conservatory,conservatory,A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).
141,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_cowshed,cowshed,"A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms."
142,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_farm_auxiliary,farm auxiliary,A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).
143,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_greenhouse,greenhouse,A greenhouse is a glass or plastic covered building used to grow plants.
144,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_slurry_tank,slurry tank,A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).
145,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_stable,stable,A stable is a building where horses are kept.
146,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_sty,sty,"A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms."
147,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_grandstand,grandstand,"The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds."
148,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_pavilion,pavilion,"A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see [W] Pavilion)"
149,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_riding_hall,riding hall,A building that was built as a riding hall.
150,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_sports_hall,sports hall,A building that was built as a sports hall.
151,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_stadium,stadium,"A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose."
152,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hangar,hangar,"A hangar is a building used for the storage of airplanes, helicopters or space-craft."
153,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_hut,hut,A hut is a small and crude shelter. Note that this word has two meanings.
154,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_shed,shed,"A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop."
155,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_carport,carport,"A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two."
156,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_garage,garage,A garage is a building suitable for the storage of one or possibly more motor vehicle or similar.
157,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_garages,garages,A building that consists of a number of discrete storage spaces for different owners/tenants. 
158,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_parking,parking,Structure purpose-built for parking cars.
158,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_parking,car park,Structure purpose-built for parking cars.
159,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_digester,digester,A digester is a bioreactor for the production of inflatable biogas from biomass.
160,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_service,service,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).
161,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_transformer_tower,transformer tower,A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. 
162,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_water_tower,water tower,A water tower
163,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_military,military,A military building. 
164,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bunker,bunker,A hardened military building. 
165,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bridge,bridge,A building used as a bridge. 
166,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_construction,construction,Used for buildings under construction. 
167,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_container,container,"For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or contraction."
168,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_marquee,marquee,For a tent or easily demountable tent-like building.
169,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_gatehouse,gatehouse,"An entry control point building, spanning over a highway that enters a city or compound."
170,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_roof,roof,"A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations"
171,http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_ruins,ruins,"Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging."
172,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_alpine_hut,alpine hut,"Alpine hut or a mountain hut is a remote building positioned in the mountains designed to provided lodging accommodation for mountaineers, climbers and hikers. The access is usually restricted to foot, mountain bike or ski. Typically, these are operated by an Alpine Club or a similar organisation."
173,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_apartment,apartment,A holiday or vacation apartment is a furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations. This tag can be applied to a building accommodating one or more holiday flats. 
174,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_aquarium,aquarium,"An aquarium, meant as Public aquarium is the aquatic counterpart of a zoo with living aquatic animals for public viewing."
175,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_artwork,artwork,"Artwork is used to tag public pieces of art. Typically, these are outdoors."
176,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_attraction,attraction,Attraction or tourist attraction is a general place of interest for visitors. Typically used for its natural or historical significance. 
177,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_camp_pitch,camp pitch,camp pitch is the free space used to place a tent or or caravan within a camp site or caravan site area.
178,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_caravan_site,caravan site,"Caravan site, caravan park or RV park is an area where people with caravans, motorhomes, recreational vehicles can stay overnight, or longer, in allotted spaces known as ""pitches"" or ""sites"". They usually provide facilities including toilets, waste disposal, water supply, power supply etc."
179,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_chalet,chalet,Chalet is a type of accommodation used in the hospitality industry to describe one or more detached cottages with self-contained cooking facilities and/or bathroom and toilet facilities.
180,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_gallery,gallery,"Art gallery or art museum is an area or typically a building that displays a variety of visual art exhibitions; The most common exhibits being paintings, sculpture or photography."
181,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_guest_house,guest house,"Guest houses, similar to a Hostel, provides lodging accommodation without a hotel license that is typically owner-operated. They usually offer a private room served with breakfast, but the staff is not convenient around-the-clock. These range from custom-built guest houses to family-based homes, frequently refer to as a bed and breakfast."
182,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_hostel,hostel,"Hostels provide inexpensive accommodation, typically with them having shared bedrooms, bathrooms, kitchens, and lounges."
183,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_hotel,hotel,"Hotels provide accommodation for guests with usually numbered rooms. Some facilities provided may include a basic bed, storage for clothing and additional guest facilities may include swimming pool, childcare, and conference facilities."
184,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_information,information,"Information, visitor center or centre, visitor information center or tourist information center is an information source for tourists, travellers and visitors. "
185,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_motel,motel,"Motel is an abbreviation which is shortened by the term ""motor hotel"". It's an establishment that provides accommodation designed for motorists usually on a short-term basis, with convenient parking for motor cars at or close to the room."
186,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_museum,museum,"Museum is an institution which has exhibitions on scientific, historical, artistic, or cultural artifacts. Typically these are open to the public as a tourist attraction."
187,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_picnic_site,picnic site,"Picnic site is an area that is suitable for eating outdoors and may have a number of facilities within it. For example they might include: toilets, water taps for drinking or cleaning, BBQ grills, benches, table with benches (picnic tables) and covered structures for bad weather. They also may be used on a grassy area that is popular for picnics."
188,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_theme_park,theme park,"Theme park or amusement park is an area where entertainment is provided by rides, game concessions, etc., catering to large numbers to people. For example: Disneyland, Magic Kingdom, Universal Studios Florida, Europa Park, and Ocean Park."
189,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_viewpoint,viewpoint,"Viewpoint, also known as a overlook, observation point, lookout, viewing point, scenic area or vista point is a place for visitors, often high, with good a scenery view of the surrounding countryside or notable buildings."
190,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_wilderness_hut,wilderness hut,"Wilderness hut or backcountry hut is a remote building, with generally a fireplace, intended to provide temporary shelter and sleeping accommodation. See also Bothy"
191,http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_zoo,zoo,Zoo is an abbreviation for a zoological garden or park that has confined animals on display for viewing by the public.
192,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_alcohol,alcohol,Shop selling alcohol to take away
193,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_bakery,bakery,Shop focused on selling bread
194,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_beverages,beverages,Shop focused on selling alcoholic and non-alcoholic beverages.
195,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_brewing_supplies,brewing supplies,"Shop focused on selling supplies for home brewing of beer, wine and spirits (where permitted)."
196,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_butcher,butcher,Shop focused on selling meat
197,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_cheese,cheese,Shop focused on selling cheese.
198,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_chocolate,chocolate,Shop focused on selling chocolate.
199,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_coffee,coffee,Shop focused on selling coffee.
200,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_confectionery,confectionery,Shop focused on selling sweets or candy
201,http://kr.di.uoa.gr/yago2geo/ontology/OSM_shop_convenience,convenience,A small local shop carrying a small subset of the items you would find in a supermarket
